时间,天气状况,温度(℃),降水量(mm),风向,风力(级),风速(km/h),气压(hPa),湿度(%),能见度(km),云量%
2024-02-19 08:00,浮尘,5.2,0,南风,2,6,972,30,5.2,19
2024-02-19 09:00,扬沙,5.4,0,东风,2,7,972,28,4.8,43
2024-02-19 10:00,浮尘,5.7,0,东风,2,6,973,27,4.8,95
2024-02-19 11:00,扬沙,5.8,0,东风,2,10,973,27,5.4,95
2024-02-19 12:00,浮尘,5.7,0,东风,3,13,973,24,10.1,95
2024-02-19 13:00,浮尘,5.4,0,东北风,3,14,973,28,10.2,95
2024-02-19 14:00,浮尘,5.4,0,东北风,3,14,973,28,10.2,95
2024-02-19 15:00,扬沙,5.5,0,东风,2,10,971,30,9.1,95
2024-02-19 16:00,扬沙,5,0,东风,3,17,970,31,7.6,94
2024-02-19 17:00,扬沙,5,0,东风,3,17,970,31,7.6,77
2024-02-19 18:00,扬沙,4.7,0,东风,3,14,968,34,7,13
2024-02-19 19:00,扬沙,4.4,0,东北风,3,14,969,36,6.7,70
2024-02-19 20:00,扬沙,4.4,0,东北风,3,14,969,36,6.7,15
2024-02-19 21:00,扬沙,4.2,0,东风,3,13,971,40,6.8,37
2024-02-19 22:00,扬沙,4.2,0,东风,3,13,971,40,6.8,91
2024-02-19 23:00,扬沙,4,0,东风,3,14,971,47,7.4,88
2024-02-20 00:00,扬沙,4,0,东风,3,16,970,59,9.5,76
2024-02-20 01:00,浮尘,2.9,0,东风,4,22,969,66,17.1,67
2024-02-20 02:00,浮尘,2.5,0,东风,4,23,968,67,19.9,95
2024-02-20 03:00,多云,2.3,0,东风,4,23,968,67,23.5,74
2024-02-20 04:00,阴,2,0,东风,4,20,966,66,18.3,95
2024-02-20 05:00,多云,1.8,0,东北风,4,22,966,67,18.1,68
2024-02-20 06:00,多云,1.5,0,东风,4,24,966,66,25.5,34
2024-02-20 07:00,晴,1.4,0,东风,4,25,966,67,26.3,21
2024-02-20 08:00,多云,1.2,0,东风,4,22,967,67,26.5,57
2024-02-20 09:00,阴,0.9,0,东风,4,20,968,68,24.9,91
2024-02-20 10:00,阴,0.9,0,东北风,3,18,968,62,24.9,95
2024-02-20 11:00,阴,0.8,0,东风,4,23,968,61,24.6,95
2024-02-20 12:00,阴,0.2,0,东风,4,28,968,65,15.3,95
2024-02-20 13:00,阴,-0.1,0,东北风,4,24,967,70,16,95
2024-02-20 14:00,阴,-0.3,0,东北风,4,21,967,72,20.7,95
2024-02-20 15:00,阴,-0.5,0,东北风,4,22,967,73,12.7,95
2024-02-20 16:00,阴,-0.6,0.1,东风,4,22,968,71,23.4,92
2024-02-20 17:00,多云,-0.7,0,东风,4,22,969,69,25.1,77
2024-02-20 18:00,晴,-1.2,0,东北风,3,17,971,79,7,11
2024-02-20 19:00,多云,-1.7,0,东风,3,15,973,88,7.5,35
2024-02-20 20:00,多云,-1.9,0,东北风,3,15,975,88,9.5,72
2024-02-20 21:00,多云,-1.9,0.1,东北风,2,9,976,87,18.2,86
2024-02-20 22:00,阴,-2.1,0,东风,2,10,977,90,8.7,95
2024-02-20 23:00,阴,-2.1,0,东风,2,10,977,90,8.7,92
2024-02-21 00:00,多云,-2.2,0.1,东风,2,10,978,91,13.1,85
2024-02-21 01:00,多云,-2.2,0.1,东风,2,10,978,91,13.1,86
2024-02-21 02:00,多云,-2.5,0,东风,2,9,977,89,15.3,54
2024-02-21 03:00,晴,-2.4,0,东北风,2,6,977,91,15,29
2024-02-21 04:00,多云,-2.3,0,东风,2,11,976,89,10.7,47
2024-02-21 05:00,多云,-2.5,0,东北风,2,9,977,88,8.1,66
2024-02-21 06:00,小雪,-2.5,0,东风,2,8,977,91,4.1,91
2024-02-21 07:00,大雪,-2.6,0.1,东北风,2,8,978,91,5.7,92
2024-02-21 08:00,大雪,-2.6,0.1,东北风,2,8,978,91,5.7,95
2024-02-21 09:00,阴,-2.8,0.9,东北风,2,10,981,93,1.2,89
2024-02-21 10:00,阴,-2.6,0.7,东风,2,7,981,93,2.8,89
2024-02-21 11:00,阴,-2,0.2,东风,2,8,981,90,4.3,95
2024-02-21 12:00,阴,-2,0.1,东北风,2,11,981,85,7.9,95
2024-02-21 13:00,阴,-1.6,0,东北风,2,9,980,82,10.7,95
2024-02-21 14:00,阴,-1.6,0.2,东北风,2,12,980,79,8.6,95
2024-02-21 15:00,阴,-1.5,0,东北风,2,9,980,77,10.2,95
2024-02-21 16:00,阴,-1.6,0,东风,3,12,980,75,12.1,95
2024-02-21 17:00,多云,-1.5,0,东北风,2,7,980,79,10.4,77
2024-02-21 18:00,多云,-1.6,0,东北风,2,8,981,77,9.1,60
2024-02-21 19:00,多云,-1.6,0,东北风,2,6,982,78,8.6,88
2024-02-21 20:00,阴,-1.7,0,东风,2,7,983,79,7.7,95
2024-02-21 21:00,阴,-1.8,0,东北风,2,6,984,82,5.6,95
2024-02-21 22:00,阴,-1.8,0,东风,1,5,984,82,7.4,95
2024-02-21 23:00,阴,-2,0,东北风,2,9,984,85,5.8,91
2024-02-22 00:00,多云,-2.2,0,东风,2,6,984,87,5.5,38
2024-02-22 01:00,多云,-2.4,0,东北风,2,7,984,87,6,40
2024-02-22 02:00,阴,-2.5,0,东风,2,10,983,86,6,90
2024-02-22 03:00,阴,-2.8,0,东北风,1,5,983,84,8.2,95
2024-02-22 04:00,多云,-2.8,0,东风,2,10,983,84,7.2,88
2024-02-22 05:00,晴,-2.7,0,东风,2,10,983,84,6.8,22
2024-02-22 06:00,多云,-2.8,0,东北风,2,8,983,84,6.8,48
2024-02-22 07:00,晴,-2.7,0,东北风,2,8,984,86,5.4,27
2024-02-22 08:00,阴,-2.7,0,东北风,2,8,984,86,5.4,82
2024-02-22 09:00,阴,-2.4,0,东风,3,14,985,81,7.7,95
2024-02-22 10:00,阴,-2,0,东北风,3,13,985,78,8.3,95
2024-02-22 11:00,中雪,-1.6,0,东北风,2,10,985,76,9.2,95
2024-02-22 12:00,阴,-1.5,0,东风,3,13,985,72,8.1,95
2024-02-22 13:00,中雪,-1.5,0,东北风,3,13,983,78,7,95
2024-02-22 14:00,阴,-1.4,0.1,东北风,3,13,982,79,4.4,95
2024-02-22 15:00,阴,-1.7,0.2,东北风,2,8,982,85,2.2,95
2024-02-22 16:00,阴,-1.5,0.3,东北风,2,7,982,87,4.6,95
2024-02-22 17:00,阴,-1.4,0.1,东北风,2,7,982,87,4.9,95
2024-02-22 18:00,阴,-1.4,0.1,东北风,2,6,983,86,5.1,94
2024-02-22 19:00,阴,-1.5,0.1,东北风,1,5,983,86,4.9,84
2024-02-22 20:00,多云,-1.6,0.1,东北风,1,3,984,89,4.4,79
2024-02-22 21:00,多云,-1.7,0.1,西北风,2,6,985,90,4.9,74
2024-02-22 22:00,多云,-1.6,0,东北风,2,6,985,89,5.9,68
2024-02-22 23:00,阴,-1.6,0,北风,1,5,986,88,6.9,85
2024-02-23 00:00,阴,-1.5,0,北风,2,6,985,88,5.7,95
2024-02-23 01:00,多云,-1.4,0,东北风,2,7,985,88,5.6,77
2024-02-23 02:00,多云,-1.9,0,东风,2,9,986,89,4.4,30
2024-02-23 03:00,多云,-1.8,0,东北风,2,7,985,89,4.3,54
2024-02-23 04:00,阴,-2.1,0,东风,2,10,984,86,5.2,86
2024-02-23 05:00,阴,-2.3,0,东风,1,5,984,87,5.9,95
2024-02-23 06:00,阴,-2.5,0,东风,2,10,983,85,6.8,94
2024-02-23 07:00,大雪,-2.5,0,东北风,2,7,984,83,8.2,87
2024-02-23 08:00,中雪,-2.5,0.1,东风,2,8,985,84,2.1,85
2024-02-23 09:00,多云,-2.6,0.8,东风,3,13,986,91,1.8,73
2024-02-23 10:00,阴,-2.4,0.2,东风,3,13,986,89,3.4,83
2024-02-23 11:00,阴,-1.9,0,东北风,2,10,986,86,6.2,95
2024-02-23 12:00,阴,-1.5,0,东北风,2,11,986,82,7.7,95
2024-02-23 13:00,阴,-1.5,0,东风,2,12,985,81,7.1,95
2024-02-23 14:00,阴,-1.5,0,东风,2,12,985,81,7.1,95
2024-02-23 15:00,阴,-0.9,0,东北风,2,11,984,77,9.5,95
2024-02-23 16:00,阴,-0.6,0,东风,2,8,984,75,10.8,91
2024-02-23 17:00,多云,-0.5,0,东北风,2,8,983,73,11.3,77
2024-02-23 18:00,多云,-0.9,0,东风,2,6,983,77,10.7,78
2024-02-23 19:00,多云,-1.2,0,东北风,1,5,983,78,10.9,70
2024-02-23 20:00,多云,-1.2,0,东北风,1,5,983,78,10.9,72
2024-02-23 21:00,多云,-1.3,0,东北风,1,5,984,77,10.5,79
2024-02-23 22:00,阴,-1.3,0,东北风,2,6,984,76,12.3,91
2024-02-23 23:00,阴,-1.4,0,东风,1,4,984,75,17.5,93
2024-02-24 00:00,阴,-1.5,0,东北风,1,5,984,75,19.4,95
2024-02-24 01:00,大雪,-1.6,0,南风,1,3,984,78,17.2,83
2024-02-24 02:00,中雪,-1.6,0,南风,1,4,984,79,12.7,80
2024-02-24 03:00,多云,-1.9,0,南风,1,4,983,83,9.3,75
2024-02-24 04:00,多云,-2.2,0.1,南风,1,3,983,86,8.3,66
2024-02-24 05:00,多云,-2.4,0,南风,1,3,983,90,7.4,54
2024-02-24 06:00,晴,-2.6,0,西风,1,3,983,91,6.4,19
2024-02-24 07:00,晴,-2.6,0,西风,1,3,983,91,6.4,12
2024-02-24 08:00,多云,-2.3,0,西风,1,4,983,93,3.5,35
2024-02-24 09:00,多云,-1.3,0,西风,1,4,983,90,4,53
2024-02-24 10:00,多云,-0.5,0,西风,2,9,984,81,4.7,56
2024-02-24 11:00,多云,0.6,0,西风,2,7,984,77,5,67
2024-02-24 12:00,多云,1.3,0,西风,2,10,984,72,5.9,51
2024-02-24 13:00,多云,2.6,0,西南风,2,8,982,64,6.8,30
2024-02-24 14:00,晴,3.9,0,西南风,2,8,981,59,8,18
2024-02-24 15:00,晴,5,0,西南风,2,7,980,53,9,9
2024-02-24 16:00,晴,5.4,0,西南风,2,6,980,51,9.5,4
2024-02-24 17:00,晴,5.2,0,西南风,2,8,980,48,10.3,19
2024-02-24 18:00,晴,4.6,0,西南风,2,6,980,49,10.9,0
2024-02-24 19:00,晴,3.2,0,西南风,1,4,980,57,10.6,0
2024-02-24 20:00,晴,2.5,0,西南风,1,5,981,63,9.1,0
2024-02-24 21:00,晴,2.1,0,南风,1,4,981,65,8.2,0
2024-02-24 22:00,晴,1.8,0,南风,2,6,982,67,6.8,12
2024-02-24 23:00,霾,1.5,0,西风,2,6,982,69,3.8,23
2024-02-25 00:00,晴,1.4,0,西南风,2,7,982,67,5.3,23
2024-02-25 01:00,晴,-0.2,0,东南风,1,3,982,77,4.7,18
2024-02-25 02:00,阴,-0.2,0,南风,1,3,981,79,4.6,82
2024-02-25 03:00,阴,-0.2,0,南风,1,3,981,79,4.6,93
2024-02-25 04:00,多云,-0.2,0,南风,1,4,981,79,6.4,50
2024-02-25 05:00,晴,-1.1,0,东北风,1,4,980,80,5.3,4
2024-02-25 06:00,晴,-1.9,0,北风,1,3,980,87,4.2,2
2024-02-25 07:00,晴,-2.4,0,东北风,1,3,980,88,3.5,0
2024-02-25 08:00,晴,-1.5,0,东北风,2,6,981,83,5.9,0
2024-02-25 09:00,晴,-0.1,0,东北风,1,5,981,76,6.1,2
2024-02-25 10:00,晴,1.5,0,东北风,2,7,981,72,5.8,17
2024-02-25 11:00,多云,2.9,0,东北风,2,9,981,65,6.1,30
2024-02-25 12:00,多云,4.7,0,东北风,2,9,980,56,6.9,43
2024-02-25 13:00,多云,4.7,0,东北风,2,9,980,56,6.9,43
2024-02-25 14:00,多云,5.7,0,东北风,2,12,978,53,7.4,78
2024-02-25 15:00,多云,6.2,0,东北风,3,13,977,52,8.9,85
2024-02-25 16:00,多云,6.5,0,东风,3,13,977,52,8.2,79
2024-02-25 17:00,多云,6,0,东北风,2,10,977,54,7.1,73
2024-02-25 18:00,多云,5.7,0,东风,2,12,978,50,8.8,63
2024-02-25 19:00,多云,5.4,0,东北风,2,7,978,54,7.7,59
2024-02-25 20:00,多云,5.1,0,东北风,1,5,979,56,7.3,52
2024-02-25 21:00,多云,4.2,0,东北风,1,3,980,60,7,67
2024-02-25 22:00,多云,4.1,0,北风,1,3,980,61,6.7,57
2024-02-25 23:00,多云,3.2,0,东北风,1,1,980,64,7,56
2024-02-26 00:00,多云,3.2,0,东北风,1,1,980,64,7,65
2024-02-26 01:00,多云,3.1,0,东北风,1,3,980,63,8,89
2024-02-26 02:00,阴,3.1,0,东北风,1,3,980,63,8,95
2024-02-26 03:00,阴,2.7,0,北风,1,3,979,64,7.6,95
2024-02-26 04:00,阴,2.3,0,北风,1,4,979,67,6.5,80
2024-02-26 05:00,多云,1.9,0,北风,1,2,979,71,6.1,74
2024-02-26 06:00,多云,2.3,0,东北风,2,8,980,68,6.4,68
2024-02-26 07:00,多云,2.1,0,东北风,2,9,980,67,6.9,58
2024-02-26 08:00,多云,2.3,0,东风,2,10,980,69,6.2,51
2024-02-26 09:00,阴,3.1,0,东风,3,14,981,67,6.3,85
2024-02-26 10:00,阴,3.4,0,东北风,3,15,980,67,6.4,95
2024-02-26 11:00,阴,3.8,0,东北风,3,13,980,66,6.3,95
2024-02-26 12:00,阴,4.6,0,东北风,3,13,980,61,6.6,85
2024-02-26 13:00,阴,5.2,0,东北风,3,15,979,58,6.9,95
2024-02-26 14:00,多云,6,0,东风,3,17,978,53,7.8,80
2024-02-26 15:00,多云,6.8,0,东风,3,16,978,51,8.3,68
2024-02-26 16:00,多云,6.8,0,东风,3,16,978,51,8.3,34
2024-02-26 17:00,多云,7.3,0,东风,3,14,978,45,10.4,38
2024-02-26 18:00,多云,7.3,0,东风,3,14,978,45,10.4,46
2024-02-26 19:00,多云,5.9,0,东北风,2,9,979,47,14.2,34
2024-02-26 20:00,多云,5.6,0,东北风,2,9,980,48,14.5,61
2024-02-26 21:00,多云,5.3,0,东北风,2,8,981,49,14.3,66
2024-02-26 22:00,多云,4.9,0,东北风,2,10,981,51,13.2,68
2024-02-26 23:00,多云,4.5,0,东北风,2,12,981,52,12.8,76
2024-02-27 00:00,多云,4.1,0,东风,2,9,981,54,11.9,74
2024-02-27 01:00,多云,3.3,0,东风,2,11,980,58,9.7,41
2024-02-27 02:00,晴,2.4,0,东北风,2,9,980,62,9.2,17
2024-02-27 03:00,晴,1.8,0,东北风,2,8,979,63,8.7,2
2024-02-27 04:00,晴,1.5,0,东北风,2,10,978,65,8.1,0
2024-02-27 05:00,多云,0.9,0,东风,1,5,977,67,7.6,35
2024-02-27 06:00,多云,0.9,0,东风,1,5,977,67,7.6,36
2024-02-27 07:00,晴,0.8,0,东北风,2,10,977,70,6.8,25
2024-02-27 08:00,晴,1.1,0,东风,2,11,977,65,7.6,0
2024-02-27 09:00,晴,1.9,0,东风,3,14,977,61,7.8,0
2024-02-27 10:00,晴,2.7,0,东北风,3,19,976,57,9.1,0
2024-02-27 11:00,晴,4.3,0,东风,3,19,977,54,9.9,0
2024-02-27 12:00,晴,6.2,0,东北风,3,16,976,48,9.8,1
2024-02-27 13:00,晴,7.7,0,东风,3,13,975,44,10.3,2
2024-02-27 14:00,晴,8.5,0,东风,3,12,974,43,10.3,4
2024-02-27 15:00,晴,9,0,东北风,3,13,973,40,11.5,27
2024-02-27 16:00,多云,8.9,0,东北风,2,10,972,41,12.4,72
2024-02-27 17:00,多云,8.5,0,东北风,2,9,972,42,12.4,60
2024-02-27 18:00,多云,8.4,0,东北风,2,6,973,43,12.3,66
2024-02-27 19:00,多云,8.1,0,东风,1,5,974,42,12.7,84
2024-02-27 20:00,阴,7.9,0,西北风,1,4,975,44,13,93
2024-02-27 21:00,多云,6.9,0,西风,2,9,976,55,7,83
2024-02-27 22:00,阴,6.6,0,西南风,1,5,975,56,6.1,95
2024-02-27 23:00,阴,6.4,0,西南风,1,3,975,56,6.5,95
2024-02-28 00:00,阴,6.2,0,西南风,1,4,974,58,6.3,95
2024-02-28 01:00,多云,5.7,0,西北风,1,3,973,60,5.9,62
2024-02-28 02:00,多云,5.9,0,北风,1,4,974,61,5.2,61
2024-02-28 03:00,多云,5.7,0,西南风,1,4,974,63,4.8,71
2024-02-28 04:00,多云,5.8,0,西南风,1,4,974,62,5,71
2024-02-28 05:00,多云,5.6,0,西南风,1,5,974,64,4.7,46
2024-02-28 06:00,霾,5.1,0,西北风,1,4,974,68,4.3,63
2024-02-28 07:00,霾,5,0,西风,1,2,975,68,4.2,73
2024-02-28 08:00,霾,4.6,0,东北风,1,5,975,71,4,56
2024-02-28 09:00,多云,5.3,0,东风,1,5,975,64,5.4,70
2024-02-28 10:00,阴,5.5,0,北风,1,4,976,61,5.6,87
2024-02-28 11:00,阴,6.2,0,东北风,2,10,976,53,9.2,95
2024-02-28 12:00,阴,6.8,0,东北风,2,10,975,50,9.5,95
2024-02-28 13:00,阴,7.1,0,东北风,2,7,974,47,11.1,93
2024-02-28 14:00,阴,8.3,0,东北风,1,5,974,45,10.9,95
2024-02-28 15:00,阴,9.4,0,东北风,1,4,973,43,10,93
2024-02-28 16:00,阴,9,0,东风,2,8,973,45,9.8,90
2024-02-28 17:00,多云,8.8,0,东风,2,6,973,44,10.6,77
2024-02-28 18:00,多云,8.4,0,东风,1,4,974,45,10.5,78
2024-02-28 19:00,阴,8.2,0,北风,1,3,976,47,9.5,95
2024-02-28 20:00,多云,7.7,0,北风,1,5,977,54,7.6,89
2024-02-28 21:00,阴,5.6,0.2,西北风,2,6,978,79,4.6,87
2024-02-28 22:00,阴,5.3,0.4,西北风,1,4,979,84,3.1,84
2024-02-28 23:00,阴,5,0.3,西风,1,4,979,89,2.7,95
2024-02-29 00:00,阴,4.9,0.1,西北风,1,4,980,92,2.2,95
2024-02-29 01:00,阴,4.6,0.2,东北风,2,8,980,89,2.7,95
2024-02-29 02:00,阴,4.2,0.3,东北风,2,9,980,91,2.2,84
2024-02-29 03:00,阴,3.6,0.2,东北风,2,9,980,90,2.9,84
2024-02-29 04:00,阴,3.2,0.1,东北风,2,8,980,90,3.6,95
2024-02-29 05:00,阴,2.9,0,东北风,2,9,979,90,3.4,95
2024-02-29 06:00,阴,2.8,0,东北风,2,6,980,91,3.1,95
2024-02-29 07:00,阴,2.8,0,东北风,2,6,980,91,3.1,90
2024-02-29 08:00,多云,2.7,0,东北风,2,8,980,91,3.3,74
2024-02-29 09:00,多云,2.7,0,东风,2,7,981,93,3.6,71
2024-02-29 10:00,阴,2.9,0,东风,2,10,982,92,3.4,87
2024-02-29 11:00,阴,3.4,0,东风,2,10,982,92,3.4,95
2024-02-29 12:00,阴,4.3,0,东风,2,7,982,86,5.7,95
2024-02-29 13:00,阴,5,0,东风,2,8,981,83,6.1,94
2024-02-29 14:00,阴,5.8,0,东北风,2,7,981,79,6.5,93
2024-02-29 15:00,多云,6.2,0,东北风,3,12,980,72,8.4,88
2024-02-29 16:00,阴,6.3,0,东北风,3,12,980,72,8.4,93
2024-02-29 17:00,多云,6,0,东北风,2,12,980,68,8.9,83
2024-02-29 18:00,多云,2.8,0.4,东北风,3,18,982,86,6.2,74
2024-02-29 19:00,多云,2.1,0.4,东北风,3,18,982,86,6.2,54
2024-02-29 20:00,多云,2.5,0.3,东北风,2,9,984,94,6.1,52
2024-02-29 21:00,多云,3,0,东北风,2,6,985,93,7.9,73
2024-02-29 22:00,多云,3.1,0,东北风,2,6,985,93,7.9,80
2024-02-29 23:00,多云,3.1,0,东风,2,6,985,89,9.3,84
2024-03-01 00:00,阴,3.1,0,东风,1,4,985,91,5.4,95
2024-03-01 01:00,阴,3,0,北风,1,4,985,91,5.8,95
2024-03-01 02:00,阴,3,0,西北风,2,6,985,92,5,95
2024-03-01 03:00,阴,2.7,0,西北风,1,4,984,93,4.8,95
2024-03-01 04:00,阴,2.7,0,西北风,1,2,984,94,3.9,95
2024-03-01 05:00,阴,2.2,0,西北风,1,2,984,94,3.9,95
2024-03-01 06:00,多云,2.2,0,西风,1,4,984,90,6,78
2024-03-01 07:00,多云,2.2,0,西风,1,4,984,92,5.7,68
2024-03-01 08:00,多云,2.3,0,东北风,1,3,984,92,5.5,56
2024-03-01 09:00,多云,2.8,0,北风,1,5,984,88,6.9,69
2024-03-01 10:00,阴,3.4,0,北风,1,5,984,88,6.9,91
2024-03-01 11:00,阴,4.4,0,西北风,1,3,984,67,20,95
2024-03-01 12:00,阴,4.9,0,东风,1,4,983,65,12.1,93
2024-03-01 13:00,多云,6,0,东风,2,6,981,53,19.6,84
2024-03-01 14:00,阴,6.2,0,南风,2,6,980,47,20,93
2024-03-01 15:00,阴,6.1,0,东北风,1,4,979,49,18.9,95
2024-03-01 16:00,阴,6,0,东北风,1,4,979,49,18.9,92
2024-03-01 17:00,阴,5.5,0,西北风,2,7,979,50,20.6,93
2024-03-01 18:00,多云,4.7,0,西风,2,8,980,54,21.8,89
2024-03-01 19:00,阴,3.9,0,西南风,2,9,981,66,16.8,95
2024-03-01 20:00,阴,3.3,0,西南风,2,10,981,79,12.4,93
2024-03-01 21:00,阴,3,0,西南风,2,10,981,79,12.4,92
2024-03-01 22:00,多云,2.5,0,西南风,2,8,982,85,11.5,62
2024-03-01 23:00,晴,2,0,西南风,2,6,982,88,8.5,23
2024-03-02 00:00,晴,1.4,0,西风,2,12,982,88,7.4,0
2024-03-02 01:00,晴,1,0,西风,2,12,982,88,7.4,0
2024-03-02 02:00,晴,0.9,0,南风,2,7,980,92,6.1,0
2024-03-02 03:00,晴,0.9,0,西南风,1,4,979,92,6.1,0
2024-03-02 04:00,晴,0.6,0,西南风,2,6,978,93,4.6,0
2024-03-02 05:00,晴,0,0,西南风,2,7,977,94,4.1,0
2024-03-02 06:00,晴,-0.4,0,西南风,2,6,977,95,2.9,0
2024-03-02 07:00,晴,-1,0,西南风,1,2,977,95,2.9,0
2024-03-02 08:00,晴,-0.8,0,西风,2,6,977,96,3.3,0
2024-03-02 09:00,晴,2.5,0,西风,1,5,977,95,4.5,0
2024-03-02 10:00,晴,4.3,0,西风,1,5,977,95,4.5,0
2024-03-02 11:00,晴,6.4,0,西南风,2,10,977,77,11.6,0
2024-03-02 12:00,晴,7.4,0,西风,2,8,975,48,21.9,0
2024-03-02 13:00,晴,8.8,0,西南风,2,8,973,36,25.5,0
2024-03-02 14:00,晴,9.9,0,西风,2,7,971,33,27.9,0
2024-03-02 15:00,晴,11.1,0,南风,2,7,969,29,28.4,0
2024-03-02 16:00,晴,11.4,0,西北风,2,8,968,27,28.5,0
2024-03-02 17:00,晴,11.1,0,东风,1,4,967,25,29.7,0
2024-03-02 18:00,晴,10.1,0,北风,1,3,967,24,29.2,0
2024-03-02 19:00,晴,7.8,0,北风,1,4,967,30,28.4,0
2024-03-02 20:00,晴,6.9,0,东北风,1,4,967,35,25.3,0
2024-03-02 21:00,晴,6.1,0,东北风,1,5,967,42,20.5,0
2024-03-02 22:00,晴,5.2,0,东北风,1,5,967,42,20.5,1
2024-03-02 23:00,晴,3.7,0,东北风,1,4,967,50,13.6,3
2024-03-03 00:00,晴,3.3,0,北风,2,7,967,55,10.9,0
2024-03-03 01:00,晴,2.4,0,西北风,2,6,967,58,9.6,0
2024-03-03 02:00,晴,1.7,0,东北风,1,4,967,65,10.8,0
2024-03-03 03:00,晴,0.9,0,北风,1,3,967,69,10.7,0
2024-03-03 04:00,晴,0.7,0,南风,1,3,966,70,11.9,0
2024-03-03 05:00,晴,0.3,0,西南风,1,2,966,72,12.2,0
2024-03-03 06:00,晴,-0.3,0,静风,0,1,966,75,11.6,0
2024-03-03 07:00,多云,0.2,0,东南风,1,3,966,75,11.9,38
2024-03-03 08:00,多云,0.4,0,北风,1,1,966,76,10.6,76
2024-03-03 09:00,多云,2.5,0,东北风,1,4,966,69,10.3,73
2024-03-03 10:00,多云,4.8,0,东北风,2,6,966,54,13.3,65
2024-03-03 11:00,多云,6.2,0,东北风,2,9,966,42,17.5,78
2024-03-03 12:00,晴,8,0,东风,2,10,965,38,18.9,2
2024-03-03 13:00,晴,9.8,0,东北风,2,11,963,36,19.4,0
2024-03-03 14:00,晴,10.4,0,东南风,2,10,962,36,19.4,0
2024-03-03 15:00,晴,11.2,0,东风,2,7,960,37,17.8,4
2024-03-03 16:00,晴,10.9,0,东风,2,7,960,37,17.8,4
2024-03-03 17:00,晴,10.7,0,东北风,3,14,959,39,17.1,29
2024-03-03 18:00,多云,10.5,0,东风,3,13,959,41,16.2,31
2024-03-03 19:00,晴,10.5,0,东风,2,8,960,41,16.8,21
2024-03-03 20:00,多云,10.2,0,东风,2,10,960,41,17,77
2024-03-03 21:00,阴,9.8,0,东北风,2,11,960,43,15.5,91
2024-03-03 22:00,多云,9.4,0,东北风,2,8,960,44,14,89
2024-03-03 23:00,多云,8.9,0,东风,2,8,960,46,14.2,89
2024-03-04 00:00,多云,8.4,0,东风,2,8,960,46,14.2,87
2024-03-04 01:00,多云,8.5,0,东北风,2,9,959,48,14.1,77
2024-03-04 02:00,晴,8.5,0,东北风,2,10,958,50,13.5,22
2024-03-04 03:00,晴,8.5,0,东北风,2,10,958,50,13.5,12
2024-03-04 04:00,多云,8.5,0,东北风,2,9,957,56,11.8,46
2024-03-04 05:00,多云,8.5,0,东北风,2,12,958,58,11.1,31
2024-03-04 06:00,晴,8.7,0,东北风,2,10,958,60,11.1,27
2024-03-04 07:00,晴,8.7,0,东北风,2,10,959,59,11.6,25
2024-03-04 08:00,多云,8.9,0,东风,3,13,960,60,11,34
2024-03-04 09:00,多云,9,0,东北风,2,9,960,62,10,71
2024-03-04 10:00,阴,9.2,0,东风,2,9,961,62,9.9,95
2024-03-04 11:00,阴,9.4,0,东北风,2,10,962,62,9.7,95
2024-03-04 12:00,阴,9.6,0,东风,2,10,962,62,9.3,95
2024-03-04 13:00,阴,10,0,东风,2,9,962,61,9.3,95
2024-03-04 14:00,阴,10.2,0,东北风,2,12,961,59,9.7,95
2024-03-04 15:00,阴,10.2,0,东风,2,7,961,58,9.9,95
2024-03-04 16:00,阴,10,0,东风,2,8,961,58,10.2,95
2024-03-04 17:00,阴,9.9,0,东风,2,8,961,59,9.7,95
2024-03-04 18:00,阴,9.5,0,东风,2,6,962,60,9.5,95
2024-03-04 19:00,阴,9.1,0,东北风,2,6,963,60,9.6,95
2024-03-04 20:00,阴,8.7,0,东北风,2,8,965,63,7.9,94
2024-03-04 21:00,多云,8.4,0,东风,2,11,965,64,7.9,68
2024-03-04 22:00,多云,8.2,0,东北风,2,7,967,67,7.6,84
2024-03-04 23:00,多云,8,0,东风,2,7,967,68,7.8,89
2024-03-05 00:00,阴,7.7,0,东风,2,8,967,69,8,95
2024-03-05 01:00,阴,7.5,0,东北风,2,6,967,70,7.7,95
2024-03-05 02:00,多云,7.4,0,东北风,2,6,967,70,7.6,70
2024-03-05 03:00,阴,6.7,0,东北风,2,6,967,70,7.6,95
2024-03-05 04:00,多云,6.4,0,东风,2,7,966,76,5.6,63
2024-03-05 05:00,晴,6.1,0,东风,2,7,966,76,5.6,12
2024-03-05 06:00,阴,6.1,0,东北风,2,6,967,77,5.2,83
2024-03-05 07:00,多云,5.9,0,静风,0,1,968,79,5,75
2024-03-05 08:00,多云,6,0,西北风,1,1,969,80,4.8,39
2024-03-05 09:00,多云,6.7,0,西北风,1,1,969,76,4.9,59
2024-03-05 10:00,阴,7.4,0,南风,1,3,970,72,5.1,90
2024-03-05 11:00,阴,7.7,0,西风,1,3,970,71,5,95
2024-03-05 12:00,阴,8,0,西南风,2,6,970,71,5,95
2024-03-05 13:00,阴,8.9,0,西南风,2,6,970,70,5,95
2024-03-05 14:00,阴,8.9,0,西南风,2,10,969,69,5.2,95
2024-03-05 15:00,阴,9.8,0,西南风,2,12,969,65,5.3,92
2024-03-05 16:00,多云,11.3,0,南风,2,9,968,53,7,78
